	100     	3.97     	-.--    
	125     	3.68     	-.--    
	160     	3.33     	19.52   
	200     	4.32     	15.64   
	250     	3.62     	14.80   
	315     	1.75     	19.04   
	400     	2.19     	15.53   
	500     	1.39     	16.92   
	630     	1.59     	14.14   
	800     	1.04     	15.98   
	1000    	0.96     	14.37   
	1250    	0.87     	13.48   
	1600    	0.86     	12.43   
	2000    	0.73     	11.67   
	2500    	0.73     	10.43   
	3150    	0.67     	9.90    
	4000    	0.70     	8.40    
	5000    	0.66     	7.78    
	6300    	0.62     	7.31    
	8000    	0.52     	6.93    
	10000   	0.44     	6.73    
